path,name,utc_ctime_estimate,utc_modified_time_estimate,utc_accessed_time_estimate,megabytes,extension,type
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_102613.jpg,20220313_102613.jpg,2024-12-13 02:07:06.033437490+00:00,2022-03-13 14:26:15+00:00,2024-12-14 08:59:09.550939798+00:00,1.871324,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_110100.jpg,20220313_110100.jpg,2024-12-13 02:07:06.240974665+00:00,2022-03-13 15:01:03+00:00,2024-12-14 08:59:06.774825811+00:00,27.140726,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_122148.jpg,20220313_122148.jpg,2024-12-13 02:07:06.259288548+00:00,2022-03-13 16:21:49+00:00,2024-12-14 08:58:55.501945496+00:00,3.113936,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_122149.jpg,20220313_122149.jpg,2024-12-13 02:07:06.285799742+00:00,2022-03-13 16:21:51+00:00,2024-12-14 08:58:55.642076969+00:00,3.080429,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_122150.jpg,20220313_122150.jpg,2024-12-13 02:07:06.303417206+00:00,2022-03-13 16:21:52+00:00,2024-12-14 08:58:55.581915379+00:00,3.097484,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_124726.jpg,20220313_124726.jpg,2024-12-13 02:07:06.509439230+00:00,2022-03-13 16:47:30+00:00,2024-12-14 08:58:54.235135794+00:00,29.586746,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_124730.jpg,20220313_124730.jpg,2024-12-13 02:07:06.716929674+00:00,2022-03-13 16:47:33+00:00,2024-12-14 08:58:54.993619919+00:00,29.859807,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_124802.jpg,20220313_124802.jpg,2024-12-13 02:07:06.748473167+00:00,2022-03-13 16:48:04+00:00,2024-12-14 08:58:51.345141888+00:00,4.073119,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_125355.jpg,20220313_125355.jpg,2024-12-13 02:07:06.758228302+00:00,2022-03-13 16:53:57+00:00,2024-12-14 08:58:46.373742819+00:00,1.692897,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_125359.jpg,20220313_125359.jpg,2024-12-13 02:07:06.772244215+00:00,2022-03-13 16:54:01+00:00,2024-12-14 08:58:46.390395880+00:00,2.448003,jpg,pic
