path,name,utc_ctime_estimate,utc_modified_time_estimate,utc_accessed_time_estimate,megabytes,extension,type,raw_location,lat,lon,utc_metadata_creation_time
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_110155.mp4,20220312_110155.mp4,2024-12-13 12:19:32.661711216+00:00,2022-03-12 16:02:03+00:00,2024-12-14 08:59:41.375829935+00:00,71.013729,mp4,clip,+32.0618+034.7702/,32.0618,34.7702,2022-03-12 09:02:03+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_110349.mp4,20220312_110349.mp4,2024-12-13 12:19:32.980218410+00:00,2022-03-12 16:03:54+00:00,2024-12-14 08:59:42.824798584+00:00,43.555567,mp4,clip,+32.0542+034.7533/,32.0542,34.7533,2022-03-12 09:03:54+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_110438.mp4,20220312_110438.mp4,2024-12-13 12:19:33.618861675+00:00,2022-03-12 16:04:47+00:00,2024-12-14 08:59:40.008002281+00:00,85.472164,mp4,clip,+32.0542+034.7532/,32.0542,34.7532,2022-03-12 09:04:47+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_110608.mp4,20220312_110608.mp4,2024-12-13 12:19:33.984143257+00:00,2022-03-12 16:06:14+00:00,2024-12-14 08:59:39.725175381+00:00,49.772989,mp4,clip,+32.0542+034.7532/,32.0542,34.7532,2022-03-12 09:06:14+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_110628.mp4,20220312_110628.mp4,2024-12-13 12:19:34.239609480+00:00,2022-03-12 16:06:32+00:00,2024-12-14 08:59:39.570544004+00:00,34.559938,mp4,clip,+32.0541+034.7530/,32.0541,34.753,2022-03-12 09:06:32+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_113441.mp4,20220312_113441.mp4,2024-12-13 12:19:35.211560249+00:00,2022-03-12 16:34:56+00:00,2024-12-14 08:59:37.923269987+00:00,137.296901,mp4,clip,+32.0536+034.7510/,32.0536,34.751,2022-03-12 09:34:56+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_113707.mp4,20220312_113707.mp4,2024-12-13 12:19:35.658207417+00:00,2022-03-12 16:37:15+00:00,2024-12-14 08:59:38.840431452+00:00,66.279206,mp4,clip,+32.0537+034.7508/,32.0537,34.7508,2022-03-12 09:37:15+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_113905.mp4,20220312_113905.mp4,2024-12-13 12:19:36.563976049+00:00,2022-03-12 16:39:13+00:00,2024-12-14 08:59:38.540986061+00:00,66.673683,mp4,clip,+32.0540+034.7509/,32.054,34.7509,2022-03-12 09:39:13+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_114227.mp4,20220312_114227.mp4,2024-12-13 12:19:37.075516462+00:00,2022-03-12 16:42:36+00:00,2024-12-14 08:59:35.785851240+00:00,74.617835,mp4,clip,+32.0545+034.7523/,32.0545,34.7523,2022-03-12 09:42:35+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_114237.mp4,20220312_114237.mp4,2024-12-13 12:19:37.493886709+00:00,2022-03-12 16:42:45+00:00,2024-12-14 08:59:35.051972151+00:00,61.333947,mp4,clip,+32.0545+034.7523/,32.0545,34.7523,2022-03-12 09:42:45+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_115006.mp4,20220312_115006.mp4,2024-12-13 12:19:38.217875004+00:00,2022-03-12 16:50:13+00:00,2024-12-14 08:59:35.537028551+00:00,56.548478,mp4,clip,+32.0555+034.7541/,32.0555,34.7541,2022-03-12 09:50:13+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_115030.mp4,20220312_115030.mp4,2024-12-13 12:19:38.871826410+00:00,2022-03-12 16:50:40+00:00,2024-12-14 08:59:36.172417164+00:00,95.121646,mp4,clip,+32.0551+034.7540/,32.0551,34.754,2022-03-12 09:50:40+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_115401.mp4,20220312_115401.mp4,2024-12-13 12:19:39.586086750+00:00,2022-03-12 16:54:07+00:00,2024-12-14 08:59:34.520550013+00:00,47.914484,mp4,clip,+32.0556+034.7533/,32.0556,34.7533,2022-03-12 09:54:07+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_115448.mp4,20220312_115448.mp4,2024-12-13 12:19:40.220707893+00:00,2022-03-12 16:54:58+00:00,2024-12-14 08:59:36.604373217+00:00,94.096092,mp4,clip,+32.0555+034.7533/,32.0555,34.7533,2022-03-12 09:54:58+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_115820.mp4,20220312_115820.mp4,2024-12-13 12:19:40.722929239+00:00,2022-03-12 16:58:28+00:00,2024-12-14 08:59:32.276150942+00:00,73.937437,mp4,clip,+32.0553+034.7521/,32.0553,34.7521,2022-03-12 09:58:28+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_120650.mp4,20220312_120650.mp4,2024-12-13 12:19:40.945570230+00:00,2022-03-12 17:06:55+00:00,2024-12-14 08:59:32.605764389+00:00,33.443327,mp4,clip,+32.0543+034.7507/,32.0543,34.7507,2022-03-12 10:06:55+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_120657.mp4,20220312_120657.mp4,2024-12-13 12:19:41.273761272+00:00,2022-03-12 17:07:03+00:00,2024-12-14 08:59:32.761487484+00:00,49.106388,mp4,clip,+32.0542+034.7507/,32.0542,34.7507,2022-03-12 10:07:03+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_121015.mp4,20220312_121015.mp4,2024-12-13 12:19:41.721449852+00:00,2022-03-12 17:10:22+00:00,2024-12-14 08:59:33.343847990+00:00,62.748089,mp4,clip,+32.0542+034.7501/,32.0542,34.7501,2022-03-12 10:10:22+00:00
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_121137.jpg,20220312_121137.jpg,2024-12-13 02:07:05.630100250+00:00,2022-03-12 17:11:39+00:00,2024-12-14 08:59:31.363787174+00:00,2.406379,jpg,pic,0,32.05425139972222,34.7500779,2022-03-12 10:11:37+00:00
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_121141.jpg,20220312_121141.jpg,2024-12-13 02:07:05.645480394+00:00,2022-03-12 17:11:42+00:00,2024-12-14 08:59:31.408839464+00:00,2.540034,jpg,pic,0,32.05425139972222,34.7500779,2022-03-12 10:11:41+00:00
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_121142.jpg,20220312_121142.jpg,2024-12-13 02:07:05.669697046+00:00,2022-03-12 17:11:44+00:00,2024-12-14 08:59:31.428375006+00:00,2.701998,jpg,pic,0,32.05425139972222,34.7500779,2022-03-12 10:11:42+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_121214.mp4,20220312_121214.mp4,2024-12-13 12:19:42.138503075+00:00,2022-03-12 17:12:21+00:00,2024-12-14 08:59:33.067440033+00:00,61.702622,mp4,clip,+32.0543+034.7501/,32.0543,34.7501,2022-03-12 10:12:21+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_121655.mp4,20220312_121655.mp4,2024-12-13 12:19:42.457305908+00:00,2022-03-12 17:17:01+00:00,2024-12-14 08:59:31.125883818+00:00,47.627245,mp4,clip,+32.0523+034.7501/,32.0523,34.7501,2022-03-12 10:17:01+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_123606.mp4,20220312_123606.mp4,2024-12-13 12:19:42.755829573+00:00,2022-03-12 17:36:12+00:00,2024-12-14 08:59:30.498980045+00:00,44.820413,mp4,clip,+32.0431+034.7478/,32.0431,34.7478,2022-03-12 10:36:12+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_123820.mp4,20220312_123820.mp4,2024-12-13 12:19:43.221188307+00:00,2022-03-12 17:38:28+00:00,2024-12-14 08:59:29.605726719+00:00,70.388969,mp4,clip,+32.0430+034.7479/,32.043,34.7479,2022-03-12 10:38:28+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_123829.mp4,20220312_123829.mp4,2024-12-13 12:19:43.615973949+00:00,2022-03-12 17:38:36+00:00,2024-12-14 08:59:30.707533598+00:00,58.031931,mp4,clip,+32.0430+034.7479/,32.043,34.7479,2022-03-12 10:38:36+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_124312.mp4,20220312_124312.mp4,2024-12-13 12:19:44.157978773+00:00,2022-03-12 17:43:20+00:00,2024-12-14 08:59:30.017087698+00:00,72.853365,mp4,clip,+32.0430+034.7479/,32.043,34.7479,2022-03-12 10:43:20+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_124322.mp4,20220312_124322.mp4,2024-12-13 12:19:44.423225164+00:00,2022-03-12 17:43:27+00:00,2024-12-14 08:59:30.338351011+00:00,36.385878,mp4,clip,+32.0430+034.7479/,32.043,34.7479,2022-03-12 10:43:27+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_135937.mp4,20220312_135937.mp4,2024-12-13 12:19:45.561031103+00:00,2022-03-12 18:59:42+00:00,2024-12-14 08:59:27.287662745+00:00,43.4494,mp4,clip,+32.0431+034.7476/,32.0431,34.7476,2022-03-12 11:59:42+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_140103.mp4,20220312_140103.mp4,2024-12-13 12:19:45.772239447+00:00,2022-03-12 19:01:07+00:00,2024-12-14 08:59:28.196924210+00:00,28.884974,mp4,clip,+32.0440+034.7481/,32.044,34.7481,2022-03-12 12:01:07+00:00
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_140856.jpg,20220312_140856.jpg,2024-12-13 02:07:05.692129135+00:00,2022-03-12 19:08:57+00:00,2024-12-14 08:59:26.716373920+00:00,3.839823,jpg,pic,0,32.0491712,34.749946199722224,2022-03-12 12:08:56+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_141917.mp4,20220312_141917.mp4,2024-12-13 12:19:46.975382090+00:00,2022-03-12 19:19:22+00:00,2024-12-14 08:59:26.174144983+00:00,45.116507,mp4,clip,+32.0541+034.7505/,32.0541,34.7505,2022-03-12 12:19:22+00:00
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_144404.jpg,20220312_144404.jpg,2024-12-13 02:07:05.720546007+00:00,2022-03-12 19:44:05+00:00,2024-12-14 08:59:25.479580402+00:00,3.483866,jpg,pic,0,32.05353219972222,34.754682199722225,2022-03-12 12:44:04+00:00
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_144405.jpg,20220312_144405.jpg,2024-12-13 02:07:05.740193605+00:00,2022-03-12 19:44:06+00:00,2024-12-14 08:59:25.450337887+00:00,3.378815,jpg,pic,0,32.05353219972222,34.754682199722225,2022-03-12 12:44:05+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_144524.mp4,20220312_144524.mp4,2024-12-13 12:19:47.747360706+00:00,2022-03-12 19:45:29+00:00,2024-12-14 08:59:25.645055771+00:00,41.645436,mp4,clip,+32.0535+034.7547/,32.0535,34.7547,2022-03-12 12:45:29+00:00
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_152946.jpg,20220312_152946.jpg,2024-12-13 02:07:05.760019064+00:00,2022-03-12 20:29:47+00:00,2024-12-14 08:59:25.385508299+00:00,1.999124,jpg,pic,0,32.0502717,34.75888799972222,2022-03-12 13:29:46+00:00
